buy_time,id,vas_id,catboost
2019-01-13 21:00:00,55,2,0.0
2019-01-20 21:00:00,64,4,0.0
2019-01-13 21:00:00,151,2,0.0
2019-01-20 21:00:00,274,4,0.0
2019-01-13 21:00:00,274,2,0.0
2019-01-13 21:00:00,471,6,0.0
2019-01-13 21:00:00,604,6,0.0
2019-01-06 21:00:00,691,2,0.0
2019-01-13 21:00:00,776,2,0.0
2019-01-13 21:00:00,936,6,0.0
2019-01-13 21:00:00,1047,2,0.0
2019-01-06 21:00:00,1078,7,0.0
2019-01-06 21:00:00,1200,6,0.0
2019-01-20 21:00:00,1336,2,0.0
2019-01-06 21:00:00,1352,2,0.0
2019-01-13 21:00:00,1388,4,0.0
2019-01-13 21:00:00,1410,2,0.0
2019-01-06 21:00:00,1446,6,1.0
2019-01-13 21:00:00,1480,5,0.0
2019-01-13 21:00:00,1544,5,0.0
2019-01-20 21:00:00,1762,8,0.0
2019-01-13 21:00:00,1843,5,0.0
2019-01-06 21:00:00,1877,1,0.0
2019-01-13 21:00:00,1893,5,0.0
2019-01-20 21:00:00,1906,2,0.0
2019-01-13 21:00:00,1944,4,1.0
2019-01-13 21:00:00,1965,2,0.0
2019-01-06 21:00:00,1972,2,0.0
2019-01-13 21:00:00,1988,7,0.0
2019-01-06 21:00:00,1993,2,0.0
2019-01-06 21:00:00,2120,6,1.0
2019-01-06 21:00:00,2195,1,0.0
2019-01-13 21:00:00,2211,2,0.0
2019-01-06 21:00:00,2221,6,0.0
2019-01-06 21:00:00,2400,1,0.0
2019-01-13 21:00:00,2476,2,0.0
2019-01-06 21:00:00,2593,2,0.0
2019-01-13 21:00:00,2664,4,0.0
2019-01-06 21:00:00,2964,5,0.0
2019-01-20 21:00:00,2992,2,0.0
2019-01-13 21:00:00,3159,2,0.0
2019-01-06 21:00:00,3255,6,0.0
2019-01-13 21:00:00,3269,9,0.0
2019-01-06 21:00:00,3464,6,0.0
2019-01-20 21:00:00,3515,1,0.0
2019-01-13 21:00:00,3671,1,0.0
2019-01-06 21:00:00,3704,5,0.0
2019-01-13 21:00:00,3708,5,0.0
2019-01-06 21:00:00,3855,1,0.0
2019-01-13 21:00:00,4070,1,0.0
2019-01-20 21:00:00,4158,4,0.0
2019-01-20 21:00:00,4174,5,0.0
2019-01-13 21:00:00,4279,6,0.0
2019-01-20 21:00:00,4420,6,1.0
2019-01-20 21:00:00,4450,2,0.0
2019-01-13 21:00:00,4511,2,0.0
2019-01-06 21:00:00,4540,5,0.0
2019-01-06 21:00:00,4609,2,0.0
2019-01-06 21:00:00,4698,2,0.0
2019-01-20 21:00:00,4770,2,0.0
2019-01-13 21:00:00,4770,4,0.0
2019-01-06 21:00:00,4914,1,0.0
2019-01-06 21:00:00,4976,2,0.0
2019-01-20 21:00:00,5058,6,0.0
2019-01-13 21:00:00,5084,2,0.0
2019-01-13 21:00:00,5141,2,0.0
2019-01-06 21:00:00,5146,5,0.0
2019-01-06 21:00:00,5389,5,0.0
2019-01-06 21:00:00,5503,5,0.0
2019-01-06 21:00:00,5577,4,0.0
2019-01-13 21:00:00,5588,5,0.0
2019-01-13 21:00:00,5691,5,0.0
2019-01-20 21:00:00,5895,5,0.0
2019-01-06 21:00:00,6006,2,0.0
2019-01-06 21:00:00,6035,6,0.0
2019-01-20 21:00:00,6195,1,0.0
2019-01-13 21:00:00,6243,5,0.0
2019-01-06 21:00:00,6295,2,0.0
2019-01-20 21:00:00,6647,5,0.0
2019-01-06 21:00:00,6764,5,0.0
2019-01-13 21:00:00,6882,2,0.0
2019-01-06 21:00:00,6989,2,0.0
2019-01-13 21:00:00,7051,8,0.0
2019-01-13 21:00:00,7096,6,1.0
2019-01-13 21:00:00,7183,2,0.0
2019-01-13 21:00:00,7409,2,0.0
2019-01-13 21:00:00,7425,5,0.0
2019-01-06 21:00:00,7553,5,0.0
2019-01-06 21:00:00,7676,6,0.0
2019-01-13 21:00:00,7753,2,0.0
2019-01-13 21:00:00,7836,5,0.0
2019-01-13 21:00:00,7858,6,0.0
2019-01-13 21:00:00,7920,2,0.0
2019-01-06 21:00:00,8139,2,0.0
2019-01-20 21:00:00,8166,6,1.0
2019-01-06 21:00:00,8166,1,0.0
2019-01-20 21:00:00,8412,2,0.0
2019-01-13 21:00:00,8571,1,0.0
2019-01-06 21:00:00,8656,6,1.0
2019-01-13 21:00:00,8692,1,0.0
2019-01-20 21:00:00,8892,1,0.0
2019-01-20 21:00:00,8894,2,0.0
2019-01-13 21:00:00,8928,2,0.0
2019-01-13 21:00:00,8933,5,0.0
2019-01-06 21:00:00,8947,4,0.0
2019-01-13 21:00:00,8950,2,0.0
2019-01-20 21:00:00,9060,2,0.0
2019-01-06 21:00:00,9141,2,0.0
2019-01-13 21:00:00,9144,5,0.0
2019-01-13 21:00:00,9210,1,0.0
2019-01-13 21:00:00,9311,2,0.0
2019-01-06 21:00:00,9361,2,0.0
2019-01-13 21:00:00,9397,6,1.0
2019-01-20 21:00:00,9417,1,0.0
2019-01-13 21:00:00,9460,7,0.0
2019-01-13 21:00:00,9470,1,0.0
2019-01-20 21:00:00,9529,4,0.0
2019-01-06 21:00:00,9544,2,0.0
2019-01-13 21:00:00,9562,2,0.0
2019-01-06 21:00:00,9657,2,0.0
2019-01-06 21:00:00,9773,2,0.0
2019-01-06 21:00:00,9775,2,0.0
2019-01-13 21:00:00,9775,6,1.0
2019-01-13 21:00:00,9919,2,0.0
2019-01-13 21:00:00,9931,2,0.0
2019-01-13 21:00:00,9997,1,0.0
2019-01-06 21:00:00,10021,2,0.0
2019-01-13 21:00:00,10035,5,0.0
2019-01-13 21:00:00,10070,6,1.0
2019-01-06 21:00:00,10254,2,0.0
2019-01-20 21:00:00,10255,5,0.0
2019-01-13 21:00:00,10347,6,0.0
2019-01-06 21:00:00,10364,6,1.0
2019-01-20 21:00:00,10382,2,0.0
2019-01-13 21:00:00,10404,6,0.0
2019-01-13 21:00:00,10413,2,0.0
2019-01-13 21:00:00,10426,2,0.0
2019-01-06 21:00:00,10486,2,0.0
2019-01-13 21:00:00,10664,2,0.0
2019-01-13 21:00:00,10671,5,0.0
2019-01-06 21:00:00,10847,6,0.0
2019-01-06 21:00:00,10896,2,0.0
2019-01-06 21:00:00,11033,1,0.0
2019-01-20 21:00:00,11197,6,0.0
2019-01-13 21:00:00,11235,7,0.0
2019-01-13 21:00:00,11279,4,0.0
2019-01-06 21:00:00,11320,6,0.0
2019-01-13 21:00:00,11342,2,0.0
2019-01-13 21:00:00,11367,5,0.0
2019-01-13 21:00:00,11567,5,0.0
2019-01-06 21:00:00,11662,2,0.0
2019-01-13 21:00:00,11699,6,0.0
2019-01-06 21:00:00,11784,7,0.0
2019-01-13 21:00:00,11844,2,0.0
2019-01-20 21:00:00,11865,5,0.0
